Rk.,Team,Venue,Year,Park Factor,wOBACon,BACON,R,OBP,H,1B,2B,3B,HR,BB,SO,PA
26, Athletics,Oakland Coliseum,2007-2009,94,92,94,88,96,95,98,91,89,83,99,95,21533
27, Padres,Petco Park,2007-2009,90,89,91,81,93,88,94,76,93,74,108,112,20704
1, Cubs,Wrigley Field,2006-2008,106,108,106,112,104,104,100,110,100,121,98,104,21071
2, Rockies,Coors Field,2006-2008,105,104,104,110,104,108,106,106,138,110,95,90,21404
3, D-backs,Chase Field,2006-2008,104,104,102,108,103,104,99,110,169,107,101,95,21818
4, Phillies,Citizens Bank Park,2006-2008,103,104,102,106,101,101,99,101,79,117,100,102,21631
5, Reds,Great American Ball Park,2006-2008,103,104,101,106,100,100,95,100,73,131,101,104,20888
6, Rangers,Globe Life Park in Arlington,2006-2008,103,104,103,106,102,103,100,106,127,106,101,101,21905
7, Red Sox,Fenway Park,2006-2008,103,103,104,106,104,106,102,139,96,78,101,96,22043
8, Astros,Minute Maid Park,2006-2008,102,104,102,104,100,101,97,104,110,119,97,105,22249
9, White Sox,Guaranteed Rate Field,2006-2008,102,102,100,104,101,99,98,89,58,124,104,100,20729
10, Orioles,Oriole Park at Camden Yards,2006-2008,102,102,101,104,101,104,107,89,71,121,96,92,20921
11, Marlins,Hard Rock Stadium,2006-2008,101,102,102,102,102,99,97,106,146,90,110,108,19661
12, Braves,Turner Field,2006-2008,101,102,102,102,102,100,103,94,91,101,103,103,20717
13, Royals,Kauffman Stadium,2006-2008,101,100,101,102,102,103,102,116,94,86,101,92,21695
14, Angels,Angel Stadium,2006-2008,101,101,103,102,102,104,107,107,83,88,93,97,20256
15, Tigers,Comerica Park,2006-2008,100,100,99,100,99,101,102,91,139,106,95,94,20963
16, Dodgers,Dodger Stadium,2006-2008,100,101,101,100,101,99,102,91,59,105,106,108,21839
17, Blue Jays,Rogers Centre,2006-2008,100,101,99,100,98,97,92,103,161,109,102,109,20882
18, Yankees,Yankee Stadium,2006-2008,100,99,99,100,100,100,101,97,67,106,98,97,21320
19, Indians,Progressive Field,2006-2008,100,100,101,100,102,100,103,100,68,91,107,102,21073
20, Giants,Oracle Park,2006-2008,99,98,100,98,99,101,101,108,135,79,96,95,19982
21, Brewers,American Family Field,2006-2008,99,100,99,98,99,96,95,96,98,103,110,108,21497
22, Mariners,T-Mobile Park,2006-2008,98,98,98,96,99,97,98,94,82,94,109,108,21068
23, Pirates,PNC Park,2006-2008,98,97,99,96,100,103,105,108,83,80,94,92,20692
24, Rays,Tropicana Field,2006-2008,98,97,96,96,99,96,97,88,117,102,105,97,21395
25, Cardinals,Busch Stadium,2006-2008,97,96,98,94,99,100,105,92,99,86,97,94,22065
26, Athletics,Oakland Coliseum,2006-2008,95,93,94,90,96,96,98,93,89,88,97,93,21845
27, Twins,Hubert H. Humphrey Metrodome,2006-2008,95,96,97,90,96,98,99,98,124,87,90,103,20893
28, Mets,Shea Stadium,2006-2008,94,93,94,88,95,93,93,95,72,92,99,102,21266
29, Padres,Petco Park,2006-2008,91,91,93,83,93,92,98,78,112,80,99,107,21505
1, Rockies,Coors Field,2005-2007,108,107,107,117,107,111,111,109,137,109,97,88,22050
2, Phillies,Citizens Bank Park,2005-2007,106,106,104,112,103,104,100,104,96,128,99,98,22256
3, D-backs,Chase Field,2005-2007,106,105,103,112,104,105,101,107,183,113,105,93,22833
4, Reds,Great American Ball Park,2005-2007,105,106,103,110,102,102,96,105,54,138,103,103,21477
5, Cubs,Wrigley Field,2005-2007,103,105,104,106,102,103,99,110,111,111,97,103,21322
6, Rangers,Globe Life Park in Arlington,2005-2007,103,104,103,106,102,104,101,104,118,112,97,99,23143
7, Blue Jays,Rogers Centre,2005-2007,102,103,101,104,99,101,96,105,112,119,92,104,21493
8, Royals,Kauffman Stadium,2005-2007,102,100,101,104,103,104,103,117,104,84,102,90,21602
9, White Sox,Guaranteed Rate Field,2005-2007,102,102,100,104,101,101,100,91,66,125,101,97,21020
10, Red Sox,Fenway Park,2005-2007,102,102,103,104,102,103,100,129,101,80,97,97,23588
11, Dodgers,Dodger Stadium,2005-2007,101,101,101,102,102,99,101,94,54,107,110,106,22634
12, Yankees,Yankee Stadium,2005-2007,101,102,102,102,101,102,103,97,73,110,96,99,21885
13, Orioles,Oriole Park at Camden Yards,2005-2007,101,99,99,102,101,101,104,88,82,112,103,89,21577
14, Pirates,PNC Park,2005-2007,100,99,101,100,100,104,106,109,93,82,93,96,20933
15, Braves,Turner Field,2005-2007,100,101,102,100,101,101,104,95,100,97,99,101,20931
16, Tigers,Comerica Park,2005-2007,99,98,98,98,99,99,102,89,157,93,99,95,20826
17, Astros,Minute Maid Park,2005-2007,99,101,99,98,98,99,99,92,101,115,95,103,20142
18, Brewers,American Family Field,2005-2007,99,99,98,98,98,95,92,100,84,105,110,107,20894
19, Marlins,Hard Rock Stadium,2005-2007,99,100,101,98,101,97,96,101,135,84,115,112,21581
20, Rays,Tropicana Field,2005-2007,99,98,98,98,99,98,98,90,127,103,102,99,20984
21, Angels,Angel Stadium,2005-2007,99,99,100,98,100,101,103,105,80,87,100,98,20366
22, Giants,Oracle Park,2005-2007,98,97,99,96,98,101,103,104,123,78,93,94,20932
23, Indians,Progressive Field,2005-2007,98,99,100,96,99,99,100,99,60,96,102,104,21580
24, Mariners,T-Mobile Park,2005-2007,97,97,98,94,99,96,100,93,59,89,110,109,21645
25, Mets,Shea Stadium,2005-2007,96,96,97,92,97,96,98,97,69,92,96,101,22969
26, Athletics,Oakland Coliseum,2005-2007,96,93,94,92,97,96,98,97,97,86,98,91,21112
27, Twins,Hubert H. Humphrey Metrodome,2005-2007,95,96,97,90,95,97,99,93,119,86,89,107,19623
28, Nationals,Robert F. Kennedy Memorial Stadium,2005-2007,93,91,93,86,95,93,95,97,99,75,97,101,22491
29, Padres,Petco Park,2005-2007,92,92,93,85,93,92,96,79,128,83,99,108,23082
1, Rockies,Coors Field,2004-2006,112,112,111,125,111,113,113,110,143,117,106,89,21592
2, D-backs,Chase Field,2004-2006,105,106,103,110,103,106,101,109,154,120,100,94,22987
3, White Sox,Guaranteed Rate Field,2004-2006,105,105,102,110,103,103,100,95,76,132,103,98,22309
4, Rangers,Globe Life Park in Arlington,2004-2006,104,104,103,108,103,104,102,107,130,110,98,95,21775
5, Phillies,Citizens Bank Park,2004-2006,103,103,102,106,101,102,99,100,109,115,97,99,21494
6, Red Sox,Fenway Park,2004-2006,103,103,105,106,103,104,101,129,93,83,99,98,24098
7, Cubs,Wrigley Field,2004-2006,102,104,101,104,100,101,97,103,102,120,96,102,20813
8, Blue Jays,Rogers Centre,2004-2006,102,103,101,104,101,102,99,101,118,113,96,100,21156
9, Reds,Great American Ball Park,2004-2006,101,102,100,102,99,100,97,101,49,125,98,101,21260
10, Giants,Oracle Park,2004-2006,100,99,100,100,101,101,103,104,140,82,99,94,21049
11, Astros,Minute Maid Park,2004-2006,100,101,99,100,98,99,99,91,129,113,94,102,18820
12, Dodgers,Dodger Stadium,2004-2006,100,100,99,100,100,99,100,92,51,113,102,103,23555
13, Braves,Turner Field,2004-2006,100,101,102,100,100,101,103,98,85,99,98,105,20913
14, Yankees,Yankee Stadium,2004-2006,100,101,100,100,100,101,102,95,72,109,96,100,23229
15, Royals,Kauffman Stadium,2004-2006,100,98,100,100,102,102,103,109,110,80,104,91,21526
16, Orioles,Oriole Park at Camden Yards,2004-2006,100,98,98,100,101,100,103,89,67,108,100,90,20943
17, Pirates,PNC Park,2004-2006,99,98,100,98,100,102,103,112,98,80,93,95,20135
18, Brewers,American Family Field,2004-2006,98,99,98,96,97,94,89,103,123,104,107,109,19776
19, Rays,Tropicana Field,2004-2006,98,98,97,96,99,96,96,90,125,99,104,102,21566
20, Tigers,Comerica Park,2004-2006,97,96,98,94,98,99,105,85,156,84,95,95,20831
21, Marlins,Hard Rock Stadium,2004-2006,97,98,99,94,99,95,97,96,121,83,114,112,20997
22, Athletics,Oakland Coliseum,2004-2006,97,96,97,94,98,99,100,102,85,93,94,93,22022
23, Indians,Progressive Field,2004-2006,97,97,98,94,99,97,97,108,62,85,105,102,20895
24, Angels,Angel Stadium,2004-2006,97,97,98,94,98,99,102,95,74,91,97,99,21030
25, Mets,Shea Stadium,2004-2006,96,96,98,92,98,97,100,99,54,86,95,99,22774
26, Twins,Hubert H. Humphrey Metrodome,2004-2006,96,98,99,92,97,99,102,95,99,91,88,108,19931
27, Mariners,T-Mobile Park,2004-2006,94,94,95,88,96,92,92,97,61,86,109,112,20629
28, Padres,Petco Park,2004-2006,93,93,94,86,94,94,97,84,147,83,100,106,22502
1, Rockies,Coors Field,2003-2005,111,110,110,123,110,112,111,111,191,112,105,90,21707
2, Rangers,Globe Life Park in Arlington,2003-2005,106,106,103,112,103,105,101,107,149,119,99,96,21925
3, D-backs,Chase Field,2003-2005,105,105,103,110,103,106,100,113,170,113,101,96,21981
4, Red Sox,Fenway Park,2003-2005,105,104,105,110,105,106,102,127,120,89,101,95,23706
5, Blue Jays,Rogers Centre,2003-2005,104,105,104,108,104,103,101,107,104,112,105,100,21682
6, White Sox,Guaranteed Rate Field,2003-2005,103,104,101,106,100,102,98,96,90,134,96,100,22044
7, Cubs,Wrigley Field,2003-2005,102,102,101,104,101,100,98,101,84,113,103,102,22666
8, Reds,Great American Ball Park,2003-2005,101,102,99,102,98,99,95,107,48,122,96,102,20520
9, Yankees,Yankee Stadium,2003-2005,101,102,102,102,101,102,105,93,85,105,95,99,25868
10, Giants,Oracle Park,2003-2005,100,99,101,100,101,102,104,100,169,84,98,96,20292
11, Cardinals,Busch Stadium,2003-2005,100,99,100,100,100,101,103,103,80,94,98,98,22473
12, Braves,Turner Field,2003-2005,100,100,101,100,101,100,101,99,98,97,103,101,20723
13, Twins,Hubert H. Humphrey Metrodome,2003-2005,100,102,103,100,100,102,103,100,96,96,94,109,20690
14, Astros,Minute Maid Park,2003-2005,99,100,99,98,98,99,98,91,141,108,97,100,20789
15, Pirates,PNC Park,2003-2005,99,99,100,98,101,101,102,112,92,82,97,96,20463
16, Royals,Kauffman Stadium,2003-2005,99,97,98,98,101,101,104,103,106,81,101,88,20719
17, Brewers,American Family Field,2003-2005,98,99,97,96,97,95,90,100,104,113,103,107,20821
18, Mets,Shea Stadium,2003-2005,98,99,101,96,100,101,105,104,52,86,94,100,20579
19, Orioles,Oriole Park at Camden Yards,2003-2005,98,96,97,96,99,98,100,93,65,97,104,93,21394
20, Tigers,Comerica Park,2003-2005,97,96,97,94,97,99,104,84,162,88,94,96,20217
21, Rays,Tropicana Field,2003-2005,97,96,97,94,98,95,98,91,118,87,103,103,21731
22, Athletics,Oakland Coliseum,2003-2005,97,96,96,94,97,97,97,102,62,99,97,95,22697
23, Marlins,Hard Rock Stadium,2003-2005,96,97,98,92,98,94,97,91,128,81,110,113,20296
24, Angels,Angel Stadium,2003-2005,96,96,97,92,97,98,100,97,80,89,95,99,21552
25, Mariners,T-Mobile Park,2003-2005,95,95,96,90,97,93,94,90,70,92,110,109,20916
26, Indians,Progressive Field,2003-2005,95,95,97,90,97,95,95,105,57,82,105,105,20727
27, Dodgers,Dodger Stadium,2003-2005,94,95,95,88,94,93,95,81,46,112,93,109,21345
1, Rockies,Coors Field,2002-2004,113,113,111,128,111,114,109,116,182,127,104,90,22484
2, Rangers,Globe Life Park in Arlington,2002-2004,106,107,105,112,104,106,102,108,117,118,102,97,23386
3, D-backs,Chase Field,2002-2004,105,105,104,110,104,104,99,112,168,108,107,99,20754
4, Blue Jays,Rogers Centre,2002-2004,105,105,104,110,104,104,100,112,102,108,105,97,22821
5, Red Sox,Fenway Park,2002-2004,104,104,105,108,104,106,103,125,92,88,98,97,23745
6, Expos,Olympic Stadium,2002-2004,103,103,101,106,101,102,94,124,115,105,100,99,18785
7, Royals,Kauffman Stadium,2002-2004,103,100,101,106,103,105,106,105,108,99,99,83,21380
8, White Sox,Guaranteed Rate Field,2002-2004,103,103,100,106,101,100,97,97,78,129,101,100,21546
9, Cubs,Wrigley Field,2002-2004,102,104,101,104,101,99,95,98,89,126,104,104,22110
10, Astros,Minute Maid Park,2002-2004,101,102,101,102,100,102,103,96,126,105,97,100,19996
11, Giants,Oracle Park,2002-2004,100,98,101,100,101,102,107,96,174,78,98,93,22258
12, Pirates,PNC Park,2002-2004,100,99,100,100,100,101,101,110,78,91,95,95,20025
13, Brewers,American Family Field,2002-2004,99,100,98,98,98,97,92,103,92,111,102,104,20703
14, Athletics,Oakland Coliseum,2002-2004,99,98,98,98,98,98,96,104,63,107,100,99,22002
15, Yankees,Yankee Stadium,2002-2004,99,99,99,98,98,99,101,93,76,105,93,102,25031
16, Twins,Hubert H. Humphrey Metrodome,2002-2004,99,100,101,98,100,101,103,102,115,88,99,106,21485
17, Orioles,Oriole Park at Camden Yards,2002-2004,99,98,98,98,99,99,101,93,60,107,99,94,21310
18, Braves,Turner Field,2002-2004,98,98,98,96,99,97,97,93,93,100,104,103,22512
19, Rays,Tropicana Field,2002-2004,97,97,97,94,98,96,97,96,119,89,99,101,22232
20, Indians,Progressive Field,2002-2004,97,98,99,94,99,96,96,106,64,86,104,107,21150
21, Angels,Angel Stadium,2002-2004,97,97,99,94,98,100,103,99,75,90,95,99,20952
22, Cardinals,Busch Stadium,2002-2004,96,96,97,92,97,97,99,101,61,92,97,104,21434
23, Mets,Shea Stadium,2002-2004,96,97,98,92,98,98,101,97,62,88,97,103,20581
24, Marlins,Hard Rock Stadium,2002-2004,96,97,98,92,98,95,96,95,154,80,111,110,21094
25, Mariners,T-Mobile Park,2002-2004,95,95,96,90,97,92,95,85,82,90,113,108,20801
26, Tigers,Comerica Park,2002-2004,95,94,96,90,97,99,105,82,169,81,92,93,21088
27, Dodgers,Dodger Stadium,2002-2004,93,94,94,86,93,93,98,74,49,109,92,108,19896
1, Rockies,Coors Field,2001-2003,115,116,113,132,111,117,111,115,166,141,99,90,23375
2, D-backs,Chase Field,2001-2003,107,107,105,114,105,106,101,115,153,114,105,97,20734
3, Rangers,Globe Life Park in Arlington,2001-2003,106,106,105,112,104,106,103,110,126,115,99,95,24303
4, Royals,Kauffman Stadium,2001-2003,106,104,103,112,105,108,109,106,97,112,99,82,21122
5, Blue Jays,Rogers Centre,2001-2003,105,106,105,110,104,104,100,118,102,109,103,99,22500
6, Expos,Olympic Stadium,2001-2003,104,104,103,108,102,104,99,122,89,108,95,98,20066
7, Astros,Minute Maid Park,2001-2003,103,104,103,106,101,104,104,101,110,112,97,100,20289
8, Brewers,American Family Field,2001-2003,102,102,99,104,100,99,95,100,91,125,101,100,21642
9, Red Sox,Fenway Park,2001-2003,102,103,104,104,102,105,103,117,104,90,95,99,23610
10, White Sox,Guaranteed Rate Field,2001-2003,101,101,99,102,100,99,96,95,79,121,102,99,21710
11, Cubs,Wrigley Field,2001-2003,100,101,100,100,100,97,97,96,78,106,108,108,22653
12, Twins,Hubert H. Humphrey Metrodome,2001-2003,100,101,102,100,101,102,101,110,131,88,100,105,20590
13, Pirates,PNC Park,2001-2003,99,98,100,98,100,101,103,106,71,89,91,93,21137
14, Rays,Tropicana Field,2001-2003,99,100,100,98,100,100,100,106,128,86,96,102,21287
15, Yankees,Yankee Stadium,2001-2003,99,99,98,98,98,98,98,92,76,110,96,100,23554
16, Indians,Progressive Field,2001-2003,99,100,101,98,100,99,100,101,62,100,101,105,22484
17, Angels,Angel Stadium,2001-2003,99,98,100,98,100,102,104,103,79,89,99,96,20482
18, Cardinals,Busch Stadium,2001-2003,98,97,98,96,99,98,99,98,63,95,101,99,20849
19, Braves,Turner Field,2001-2003,98,97,98,96,99,97,100,93,84,93,102,98,23007
20, Athletics,Oakland Coliseum,2001-2003,98,98,97,96,98,97,95,101,72,102,100,101,22168
21, Orioles,Oriole Park at Camden Yards,2001-2003,97,96,96,94,98,97,101,87,58,104,101,96,20708
22, Giants,Oracle Park,2001-2003,96,94,98,92,99,99,104,98,169,69,98,94,23098
23, Tigers,Comerica Park,2001-2003,96,94,96,92,97,98,104,84,180,75,97,91,21355
24, Marlins,Hard Rock Stadium,2001-2003,96,97,98,92,98,95,96,95,153,77,108,111,22176
25, Phillies,Veterans Stadium,2001-2003,95,95,95,90,96,92,90,97,98,93,106,111,21231
26, Mets,Shea Stadium,2001-2003,95,96,97,90,96,95,98,94,74,88,96,108,23072
27, Mariners,T-Mobile Park,2001-2003,94,93,94,88,95,94,98,84,81,87,104,104,20853
28, Padres,Qualcomm Stadium,2001-2003,94,94,96,88,96,94,100,81,113,83,101,108,21552
29, Dodgers,Dodger Stadium,2001-2003,93,93,93,86,93,91,93,82,55,104,97,108,21386
1, Rockies,Coors Field,2000-2002,120,122,118,144,115,122,115,121,162,153,101,90,23838
2, Royals,Kauffman Stadium,2000-2002,106,105,105,112,104,110,111,105,109,114,92,85,21363
3, D-backs,Chase Field,2000-2002,105,105,104,110,104,105,105,104,158,104,99,96,20562
4, Astros,Minute Maid Park,2000-2002,104,106,104,108,101,104,100,106,122,114,96,104,20168
5, Reds,Cinergy Field,2000-2002,104,102,101,108,103,102,99,112,63,109,110,95,21029
6, Rangers,Globe Life Park in Arlington,2000-2002,104,103,102,108,103,104,99,109,112,114,99,93,23544
7, Blue Jays,Rogers Centre,2000-2002,103,103,102,106,102,102,97,116,81,106,102,98,21893
8, Indians,Progressive Field,2000-2002,103,103,103,106,102,103,103,102,69,114,98,101,22977
9, White Sox,Guaranteed Rate Field,2000-2002,103,102,100,106,102,100,98,94,92,121,107,97,20865
10, Expos,Olympic Stadium,2000-2002,101,102,102,102,101,103,100,111,77,106,93,99,20928
11, Braves,Turner Field,2000-2002,101,100,101,102,102,101,103,99,82,93,99,97,21038
12, Twins,Hubert H. Humphrey Metrodome,2000-2002,101,102,102,102,101,102,100,113,142,88,100,103,19794
13, Rays,Tropicana Field,2000-2002,100,100,100,100,100,100,99,109,130,92,96,100,20830
14, Yankees,Yankee Stadium,2000-2002,100,99,98,100,99,99,97,96,72,114,98,100,23704
15, Red Sox,Fenway Park,2000-2002,100,101,103,100,100,103,104,111,95,85,93,103,22437
16, Angels,Angel Stadium,2000-2002,100,99,100,100,101,102,105,100,66,97,99,95,21394
17, Cardinals,Busch Stadium,2000-2002,99,99,98,98,100,96,95,95,89,105,110,103,20041
18, Athletics,Oakland Coliseum,2000-2002,98,98,98,96,98,96,96,95,92,101,102,101,22445
19, Tigers,Comerica Park,2000-2002,97,94,97,94,100,100,107,91,175,68,98,86,21947
20, Phillies,Veterans Stadium,2000-2002,97,97,96,94,97,93,87,112,117,91,109,110,21286
21, Orioles,Oriole Park at Camden Yards,2000-2002,97,96,97,94,98,96,101,81,71,102,104,98,21335
22, Marlins,Hard Rock Stadium,2000-2002,96,97,98,92,98,95,96,98,132,80,105,111,20012
23, Cubs,Wrigley Field,2000-2002,95,96,95,90,96,93,94,86,67,102,104,110,21280
24, Giants,Oracle Park,2000-2002,94,91,94,88,96,96,100,96,145,70,96,94,20773
25, Padres,Qualcomm Stadium,2000-2002,93,94,96,86,95,93,99,78,97,87,98,109,22238
26, Mets,Shea Stadium,2000-2002,93,94,96,86,94,94,97,89,76,87,95,110,23904
27, Dodgers,Dodger Stadium,2000-2002,93,93,93,86,94,91,94,82,66,98,101,106,21118
28, Mariners,T-Mobile Park,2000-2002,92,91,93,85,95,91,96,87,63,79,106,108,21905
1, Rockies,Coors Field,1999-2001,121,122,118,146,116,122,117,119,167,152,105,86,23016
2, Rangers,Globe Life Park in Arlington,1999-2001,105,104,103,110,103,105,103,108,134,107,99,91,22930
3, Indians,Progressive Field,1999-2001,104,105,104,108,103,105,105,100,91,116,100,99,20878
4, Royals,Kauffman Stadium,1999-2001,104,104,104,108,103,109,112,98,135,106,89,89,20431
5, Twins,Hubert H. Humphrey Metrodome,1999-2001,103,104,104,106,102,104,100,121,136,92,97,103,18091
6, Blue Jays,Rogers Centre,1999-2001,102,102,101,104,102,101,97,115,71,102,103,99,20984
7, White Sox,Guaranteed Rate Field,1999-2001,101,100,99,102,100,99,98,92,95,115,103,97,19111
8, Rays,Tropicana Field,1999-2001,101,101,101,102,101,101,98,113,141,94,101,99,21280
9, D-backs,Chase Field,1999-2001,101,101,100,102,100,102,101,99,158,103,94,95,20262
10, Reds,Cinergy Field,1999-2001,101,100,99,102,100,99,96,106,70,109,106,97,19351
11, Expos,Olympic Stadium,1999-2001,101,102,102,102,101,103,101,115,89,97,95,99,18764
12, Angels,Angel Stadium,1999-2001,100,99,100,100,100,101,103,97,67,105,99,95,20123
13, Red Sox,Fenway Park,1999-2001,100,101,104,100,101,104,107,107,101,83,92,101,21516
14, Yankees,Yankee Stadium,1999-2001,99,98,97,98,99,97,97,96,77,106,102,98,22134
15, Cubs,Wrigley Field,1999-2001,99,99,99,98,100,98,99,94,78,99,105,104,20069
16, Phillies,Veterans Stadium,1999-2001,99,100,98,98,99,96,90,116,134,91,111,109,19859
17, Cardinals,Busch Stadium,1999-2001,99,98,98,98,99,97,97,93,90,102,107,103,20000
18, Orioles,Oriole Park at Camden Yards,1999-2001,98,97,98,96,100,97,102,80,87,98,107,99,21188
19, Braves,Turner Field,1999-2001,98,98,100,96,99,99,101,99,71,91,97,99,20661
20, Athletics,Oakland Coliseum,1999-2001,96,95,95,92,96,94,94,95,76,96,99,99,21600
21, Dodgers,Dodger Stadium,1999-2001,96,95,96,92,96,96,99,83,67,100,98,102,19033
22, Marlins,Hard Rock Stadium,1999-2001,95,96,97,90,97,93,94,95,134,82,105,111,18949
23, Mets,Shea Stadium,1999-2001,95,96,97,90,96,93,95,92,88,89,99,110,22606
24, Padres,Qualcomm Stadium,1999-2001,95,96,97,90,96,94,98,81,97,91,100,109,20992
25, Mariners,T-Mobile Park,1999-2001,91,90,91,83,93,90,94,86,58,84,101,107,19288
