last_name, first_name,year,on_base_percent,barrel_batted_rate,whiff_percent,f_strike_percent,sprint_speed,
Yelich, Christian,2018,.402,12.9,23.0,60.5,28.7,
Merrifield, Whit,2018,.366,4.6,19.1,59.1,29.0,
Bogaerts, Xander,2018,.360,9.8,21.1,56.8,27.8,
Calhoun, Kole,2018,.283,9.3,28.5,58.2,26.1,
Profar, Jurickson,2018,.335,5.0,18.7,60.3,27.6,
Baez, Javier,2018,.326,12.6,33.9,66.5,28.8,
Lindor, Francisco,2018,.350,9.3,17.7,55.8,28.4,
Odor, Rougned,2018,.325,7.1,23.3,60.9,28.1,
Story, Trevor,2018,.348,12.7,24.9,60.5,29.6,
Kepler, Max,2018,.319,6.6,18.0,58.1,27.9,
Bradley Jr., Jackie,2018,.314,10.3,30.8,61.5,27.8,
Candelario, Jeimer,2018,.317,6.0,25.6,55.6,27.3,
Ahmed, Nick,2018,.289,5.1,25.4,65.4,28.2,
Anderson, Brian,2018,.357,5.8,24.3,58.2,27.1,
Bell, Josh,2018,.357,7.0,24.4,55.4,27.1,
Betts, Mookie,2018,.438,14.1,15.5,56.2,28.1,
Smith, Mallex,2018,.362,1.5,25.6,61.2,29.8,
Hernandez, Teoscar,2018,.302,15.5,38.5,64.1,28.6,
Peraza, Jose,2018,.322,2.5,14.0,62.1,28.8,
Marte, Ketel,2018,.331,5.0,16.2,58.4,28.7,
Nimmo, Brandon,2018,.404,6.5,26.6,63.0,28.5,
Turner, Trea,2018,.343,5.8,20.5,62.4,30.1,
Pillar, Kevin,2018,.282,5.7,22.4,60.7,27.8,
Ramirez, Jose,2018,.387,8.3,13.7,53.0,27.5,
Bregman, Alex,2018,.394,7.6,12.9,54.2,27.8,
Gallo, Joey,2018,.312,22.5,41.0,59.6,27.6,
Mazara, Nomar,2018,.317,8.5,25.4,56.7,26.8,
Andujar, Miguel,2018,.328,6.3,19.7,66.3,27.8,
Swanson, Dansby,2018,.300,4.1,25.5,64.0,29.4,
Taylor, Chris,2018,.331,8.3,31.6,62.6,28.7,
Wendle, Joey,2018,.352,2.7,20.6,57.2,28.3,
Olson, Matt,2018,.335,12.2,27.6,54.1,25.9,
Duffy, Matt,2018,.361,1.2,17.4,63.4,27.7,
Margot, Manuel,2018,.291,3.3,21.3,62.0,29.4,
Camargo, Johan,2018,.349,5.0,26.6,57.6,26.3,
Conforto, Michael,2018,.350,9.5,27.7,58.5,27.8,
Anderson, Tim,2018,.281,4.7,27.8,63.7,28.7,
Bellinger, Cody,2018,.343,8.6,29.7,58.1,28.8,
Mancini, Trey,2018,.299,11.8,27.6,61.9,27.0,
Rosario, Amed,2018,.294,3.9,26.1,67.2,29.4,
Benintendi, Andrew,2018,.365,6.4,19.3,56.6,27.7,
Albies, Ozzie,2018,.304,4.7,22.2,63.5,28.7,
Chapman, Matt,2018,.356,8.9,23.6,58.0,28.3,
Hoskins, Rhys,2018,.353,11.4,21.8,52.7,26.3,
Schwarber, Kyle,2018,.355,12.7,30.2,55.9,27.1,
Moncada, Yoan,2018,.314,9.6,31.1,61.2,28.8,
Pujols, Albert,2019,.305,5.8,18.2,56.3,22.5,
Cabrera, Miguel,2019,.346,6.4,24.4,62.7,23.5,
Choo, Shin-Soo,2019,.371,8.8,29.5,59.2,26.6,
Jones, Adam,2019,.313,6.7,27.0,62.2,26.8,
Cruz, Nelson,2019,.392,19.9,32.5,54.8,25.3,
Longoria, Evan,2019,.325,7.5,25.7,60.4,26.4,
Fowler, Dexter,2019,.345,7.4,27.2,59.9,27.7,
Cabrera, Asdrubal,2019,.342,5.7,20.7,58.0,25.4,
Blackmon, Charlie,2019,.364,8.3,19.6,62.0,26.8,
Cain, Lorenzo,2019,.324,4.1,19.2,60.4,27.8,
Turner, Justin,2019,.372,7.8,17.1,58.7,26.1,
Votto, Joey,2019,.357,6.9,19.6,59.0,25.0,
Gardner, Brett,2019,.325,3.9,19.7,53.5,28.9,
Braun, Ryan,2019,.341,9.8,24.9,61.6,26.6,
Gordon, Alex,2019,.344,5.4,22.0,59.6,25.4,
Andrus, Elvis,2019,.313,3.5,19.6,63.7,26.7,
Ramos, Wilson,2019,.351,4.7,20.5,64.1,22.9,
Santana, Carlos,2019,.397,9.6,20.4,54.4,25.7,
Belt, Brandon,2019,.339,8.7,22.9,58.3,24.8,
Brantley, Michael,2019,.372,5.5,10.8,60.0,26.4,
Gurriel, Yuli,2019,.343,3.6,14.8,64.9,27.6,
Rojas, Miguel,2019,.331,2.6,16.5,66.9,26.4,
Escobar, Eduardo,2019,.320,7.0,24.8,61.5,27.6,
Davis, Khris,2019,.293,9.8,34.9,58.0,25.6,
Pham, Tommy,2019,.369,7.9,20.2,58.3,28.6,
Martinez, J.D.,2019,.382,11.8,26.7,61.6,26.7,
Reddick, Josh,2019,.316,3.4,14.7,60.2,26.7,
Goldschmidt, Paul,2019,.345,11.3,26.3,64.7,26.6,
Altuve, Jose,2019,.352,8.1,20.8,65.3,28.6,
Hernandez, Cesar,2019,.333,2.7,17.2,62.1,28.7,
Segura, Jean,2019,.322,3.2,14.7,61.5,27.5,
Castro, Starlin,2019,.300,6.2,19.1,60.2,26.9,
Marte, Starling,2019,.341,8.0,25.1,62.6,29.0,
Donaldson, Josh,2019,.379,15.7,29.9,58.4,25.8,
Freeman, Freddie,2019,.389,12.5,24.3,55.1,26.4,
Grandal, Yasmani,2019,.380,11.3,25.5,57.0,24.2,
Heyward, Jason,2019,.343,5.7,22.7,54.5,27.4,
LeMahieu, DJ,2019,.374,7.5,16.0,58.3,26.7,
Moustakas, Mike,2019,.329,10.3,25.0,52.2,25.7,
Rizzo, Anthony,2019,.405,6.8,19.7,51.4,25.3,
Galvis, Freddy,2019,.295,5.5,28.7,61.4,25.9,
Garcia, Avisail,2019,.332,11.7,32.0,62.3,28.8,
Ozuna, Marcell,2019,.328,12.1,27.6,58.8,27.4,
Villar, Jonathan,2019,.338,6.8,27.6,63.3,27.9,
Santana, Danny,2019,.323,9.5,32.1,62.4,27.7,
Crawford, Brandon,2019,.304,5.4,28.3,62.5,25.7,
Hosmer, Eric,2019,.310,7.2,28.9,57.9,25.8,
Kipnis, Jason,2019,.301,5.5,20.4,56.9,26.8,
Rendon, Anthony,2019,.412,12.0,12.9,57.6,26.7,
Semien, Marcus,2019,.369,8.5,18.3,63.3,28.1,
Springer, George,2019,.383,14.1,26.5,61.3,28.4,
Vazquez, Christian,2019,.319,5.9,20.5,64.1,25.6,
Wong, Kolten,2019,.357,2.2,18.5,57.0,27.6,
Garcia, Leury,2019,.304,3.8,24.7,62.8,28.5,
Grichuk, Randal,2019,.280,8.5,28.1,61.6,28.1,
Trout, Mike,2019,.438,18.9,19.2,52.5,29.3,
Harper, Bryce,2019,.372,14.8,34.0,59.5,28.3,
Abreu, Jose,2019,.330,12.8,25.3,57.7,26.6,
Suarez, Eugenio,2019,.358,14.0,28.7,61.8,25.9,
Santana, Domingo,2019,.327,12.1,31.9,62.5,26.7,
Sanchez, Yolmer,2019,.314,1.0,22.9,61.8,27.7,
Arenado, Nolan,2019,.379,8.0,20.9,62.1,25.9,
Muncy, Max,2019,.374,12.0,29.0,55.0,27.7,
Voit, Luke,2019,.378,13.2,35.1,59.8,25.8,
Walker, Christian,2019,.348,13.1,28.8,58.9,27.2,
Iglesias, Jose,2019,.317,2.5,15.3,64.9,27.2,
Bryant, Kris,2019,.382,9.3,28.4,58.4,28.2,
Castellanos, Nick,2019,.337,10.9,26.9,61.9,27.9,
Machado, Manny,2019,.334,8.0,24.2,61.7,26.4,
Moran, Colin,2019,.322,7.4,24.8,65.0,25.3,
Pederson, Joc,2019,.339,10.3,24.2,57.8,26.2,
Realmuto, J.T.,2019,.327,8.7,23.8,58.3,28.7,
Rosario, Eddie,2019,.300,8.5,21.3,59.5,27.1,
Yelich, Christian,2019,.429,15.8,28.2,54.9,28.7,
Merrifield, Whit,2019,.348,4.3,20.1,60.5,28.6,
Bogaerts, Xander,2019,.384,8.4,20.9,57.2,28.0,
Alberto, Hanser,2019,.327,2.9,14.6,66.2,26.8,
Polanco, Jorge,2019,.355,6.7,17.4,59.5,28.2,
Calhoun, Kole,2019,.324,11.2,32.2,59.3,25.9,
Eaton, Adam,2019,.360,3.8,17.8,57.9,28.3,
Profar, Jurickson,2019,.301,6.5,20.2,57.5,26.7,
Baez, Javier,2019,.316,12.7,35.7,65.8,28.6,
Lindor, Francisco,2019,.335,7.5,17.1,57.6,27.5,
Odor, Rougned,2019,.282,13.6,29.4,57.1,28.0,
Story, Trevor,2019,.363,8.6,26.5,57.9,29.2,
Vogelbach, Daniel,2019,.341,10.8,26.9,52.0,24.1,
Kepler, Max,2019,.336,8.9,20.1,62.9,27.7,
Bradley Jr., Jackie,2019,.316,9.6,32.7,61.4,27.6,
Nunez, Renato,2019,.311,10.7,27.4,59.9,27.1,
Ahmed, Nick,2019,.315,6.6,21.3,62.9,28.2,
Anderson, Brian,2019,.342,8.9,27.4,62.7,27.0,
Bell, Josh,2019,.367,12.7,25.3,55.0,26.7,
Betts, Mookie,2019,.391,10.3,14.5,55.1,27.9,
Smith, Mallex,2019,.299,2.2,28.6,62.9,29.4,
Arcia, Orlando,2019,.282,4.6,24.6,60.3,26.4,
Marte, Ketel,2019,.389,9.3,17.7,58.1,27.9,
Turner, Trea,2019,.353,6.8,23.4,62.5,30.4,
Pillar, Kevin,2019,.287,4.9,17.8,64.5,28.0,
Ramirez, Jose,2019,.327,6.3,14.6,56.8,27.8,
Bregman, Alex,2019,.423,4.8,14.3,55.2,27.4,
Seager, Corey,2019,.335,7.3,25.7,58.2,26.9,
Reyes, Franmil,2019,.310,14.8,36.5,62.6,26.6,
Swanson, Dansby,2019,.325,10.1,27.6,56.3,28.7,
Newman, Kevin,2019,.352,2.1,13.9,63.8,28.5,
Olson, Matt,2019,.351,14.5,28.2,55.8,26.2,
Alonso, Pete,2019,.358,15.8,28.0,59.0,26.5,
Conforto, Michael,2019,.363,11.9,27.1,60.0,27.5,
Frazier, Adam,2019,.334,1.9,15.6,55.4,27.2,
Puig, Yasiel,2019,.327,9.4,28.2,60.6,28.2,
Soler, Jorge,2019,.352,16.9,32.5,61.4,27.0,
Meadows, Austin,2019,.364,12.5,23.5,60.9,28.1,
Anderson, Tim,2019,.357,5.1,24.5,62.0,28.7,
Bellinger, Cody,2019,.405,13.0,23.5,54.0,28.8,
Dozier, Hunter,2019,.348,10.0,27.0,60.6,28.3,
Mancini, Trey,2019,.364,10.3,26.9,63.0,26.7,
McMahon, Ryan,2019,.328,9.0,32.5,62.7,26.4,
Rosario, Amed,2019,.322,4.2,24.3,62.3,29.2,
Adames, Willy,2019,.315,8.4,27.2,62.8,28.3,
Benintendi, Andrew,2019,.341,8.1,25.3,61.8,27.1,
McNeil, Jeff,2019,.384,4.8,20.0,64.4,27.2,
Albies, Ozzie,2019,.352,6.6,23.0,64.1,28.6,
Robles, Victor,2019,.323,4.8,23.5,62.1,29.3,
