last_name, first_name,year,on_base_percent,barrel_batted_rate,whiff_percent,f_strike_percent,sprint_speed,
Martinez, Victor,2016,.351,8.4,17.2,57.7,22.6,
Utley, Chase,2016,.319,4.3,18.9,59.3,27.4,
Pujols, Albert,2016,.323,9.4,15.7,55.8,22.6,
Mauer, Joe,2016,.363,6.0,15.4,60.1,26.4,
Cabrera, Miguel,2016,.393,15.9,22.5,58.5,24.4,
Gonzalez, Adrian,2016,.349,4.6,23.0,56.1,24.1,
Phillips, Brandon,2016,.318,2.7,19.1,65.8,26.0,
Upton, B.J.,2016,.289,5.8,34.7,65.7,28.2,
Molina, Yadier,2016,.360,3.6,15.2,62.5,23.8,
Cano, Robinson,2016,.350,7.5,17.3,59.7,24.8,
Encarnacion, Edwin,2016,.356,12.1,23.6,57.7,25.3,
Bautista, Jose,2016,.366,8.3,21.3,56.1,25.3,
Jones, Adam,2016,.310,8.0,26.2,63.1,28.0,
Martin, Russell,2016,.335,9.3,30.0,55.9,25.4,
Granderson, Curtis,2016,.335,6.9,22.1,55.0,27.3,
Pagan, Angel,2016,.330,3.0,11.6,57.8,27.7,
Ramirez, Hanley,2016,.361,10.4,23.9,61.1,26.8,
Morales, Kendrys,2016,.327,10.8,24.0,55.3,24.3,
Kendrick, Howie,2016,.326,5.8,20.8,63.7,26.7,
Napoli, Mike,2016,.335,13.3,30.5,57.1,24.8,
Kinsler, Ian,2016,.348,3.8,15.9,61.4,26.8,
Desmond, Ian,2016,.335,7.5,27.5,65.9,28.6,
Cruz, Nelson,2016,.360,16.5,29.1,57.7,26.1,
Trumbo, Mark,2016,.316,15.6,29.3,63.6,27.0,
Escobar, Alcides,2016,.287,1.4,21.0,67.9,27.5,
Prado, Martin,2016,.359,1.3,10.5,64.0,26.7,
Longoria, Evan,2016,.318,12.1,26.1,61.8,27.4,
Cozart, Zack,2016,.307,2.3,18.7,60.6,25.9,
Davis, Chris,2016,.332,15.1,37.1,58.0,26.5,
Zobrist, Ben,2016,.384,4.5,13.0,56.7,27.3,
Fowler, Dexter,2016,.392,5.6,22.1,58.1,28.3,
Headley, Chase,2016,.331,5.9,24.9,59.4,25.8,
Span, Denard,2016,.328,2.8,14.0,58.9,27.9,
Cabrera, Asdrubal,2016,.336,5.7,23.1,59.7,25.5,
Ellsbury, Jacoby,2016,.321,1.7,16.7,62.8,27.9,
Tulowitzki, Troy,2016,.318,9.6,20.9,59.4,25.5,
Blackmon, Charlie,2016,.379,6.8,17.1,54.6,27.7,
Frazier, Todd,2016,.302,10.1,28.3,60.7,26.2,
Markakis, Nick,2016,.346,4.9,12.8,55.4,25.5,
Pedroia, Dustin,2016,.375,2.5,12.2,58.0,26.5,
Nunez, Eduardo,2016,.324,4.4,17.2,63.7,28.0,
McCutchen, Andrew,2016,.336,8.5,25.5,58.5,29.1,
Upton, Justin,2016,.310,12.5,30.9,55.6,27.4,
Turner, Justin,2016,.339,8.8,18.6,60.5,26.2,
Posey, Buster,2016,.362,6.9,14.1,60.7,25.2,
Espinosa, Danny,2016,.303,8.5,33.2,54.4,27.7,
Bruce, Jay,2016,.309,8.7,26.0,57.0,26.8,
Votto, Joey,2016,.434,9.7,18.6,54.4,25.0,
Gardner, Brett,2016,.349,2.4,15.3,52.4,28.7,
Saunders, Michael,2016,.337,7.7,29.2,55.2,26.9,
Braun, Ryan,2016,.365,8.4,20.9,59.4,27.4,
Gordon, Alex,2016,.312,8.7,29.4,59.5,26.2,
Kemp, Matt,2016,.304,11.1,29.4,63.2,25.3,
Andrus, Elvis,2016,.359,1.8,16.3,64.1,27.4,
Cabrera, Melky,2016,.344,2.1,14.0,55.4,25.6,
Ramos, Wilson,2016,.354,7.4,19.1,60.8,24.1,
Santana, Carlos,2016,.366,9.8,19.2,52.6,25.9,
Gonzalez, Carlos,2016,.350,8.6,30.7,57.3,27.0,
Mercer, Jordy,2016,.324,2.2,15.1,61.6,27.6,
Belt, Brandon,2016,.394,11.3,25.3,56.3,26.4,
Carter, Chris,2016,.321,17.6,38.4,58.7,26.6,
Alonso, Yonder,2016,.316,4.1,17.7,61.7,24.6,
Escobar, Yunel,2016,.353,2.8,16.6,65.0,25.6,
Cespedes, Yoenis,2016,.354,9.8,24.7,59.3,27.1,
Ramirez, Alexei,2016,.277,0.5,16.6,63.6,26.6,
Davis, Khris,2016,.307,17.0,33.9,63.9,27.1,
Martinez, J.D.,2016,.373,14.2,29.3,61.5,27.0,
Valencia, Danny,2016,.346,7.8,28.2,59.2,27.0,
Murphy, Daniel,2016,.390,8.5,12.0,56.0,26.5,
Goldschmidt, Paul,2016,.410,7.8,22.9,56.9,27.3,
Gonzalez, Marwin,2016,.290,5.4,25.8,64.3,26.5,
Altuve, Jose,2016,.395,6.9,15.4,61.2,28.4,
Hernandez, Cesar,2016,.368,1.8,20.3,58.8,29.5,
Segura, Jean,2016,.366,5.9,17.1,59.7,28.3,
Castro, Starlin,2016,.300,5.4,23.3,63.1,27.4,
Marte, Starling,2016,.361,5.4,25.7,60.5,28.9,
Donaldson, Josh,2016,.403,12.5,24.1,57.0,27.1,
Freeman, Freddie,2016,.400,13.2,29.6,58.0,26.4,
Heyward, Jason,2016,.306,2.7,17.1,55.1,27.7,
LeMahieu, DJ,2016,.411,4.9,11.6,58.4,27.1,
Lucroy, Jonathan,2016,.355,7.4,19.5,57.0,25.6,
Moreland, Mitch,2016,.298,9.6,28.5,52.9,25.6,
Rizzo, Anthony,2016,.385,9.2,19.9,57.2,25.9,
Vogt, Stephen,2016,.305,5.1,17.3,59.2,26.0,
Galvis, Freddy,2016,.271,2.8,21.0,60.1,27.6,
Perez, Salvador,2016,.288,6.3,23.4,66.8,25.9,
Forsythe, Logan,2016,.333,7.5,22.7,62.8,27.7,
Inciarte, Ender,2016,.348,0.7,11.1,60.2,27.9,
Ozuna, Marcell,2016,.321,7.8,26.6,63.2,28.0,
Villar, Jonathan,2016,.367,6.4,27.3,57.3,28.0,
Crawford, Brandon,2016,.342,5.6,26.6,56.3,26.7,
Harrison, Josh,2016,.308,2.1,20.1,66.1,27.9,
Hosmer, Eric,2016,.328,9.2,26.1,55.9,26.2,
Kipnis, Jason,2016,.340,6.7,19.7,55.2,27.3,
Miller, Brad,2016,.304,9.7,26.9,60.9,27.8,
Rendon, Anthony,2016,.348,5.9,17.0,62.4,28.1,
Semien, Marcus,2016,.300,6.7,23.7,57.0,28.4,
Shaw, Travis,2016,.306,8.0,24.4,57.4,26.2,
Springer, George,2016,.359,10.5,27.9,63.4,28.4,
Gregorius, Didi,2016,.302,2.9,18.6,61.8,28.1,
Trout, Mike,2016,.441,14.6,20.7,55.8,28.9,
Herrera, Odubel,2016,.360,4.2,24.0,58.8,27.3,
Harper, Bryce,2016,.373,7.3,23.2,50.7,27.2,
Martin, Leonys,2016,.304,5.0,30.0,65.3,27.4,
Abreu, Jose,2016,.353,7.9,23.8,59.3,25.6,
Suarez, Eugenio,2016,.317,6.3,24.9,59.2,27.4,
Polanco, Gregory,2016,.322,6.0,21.6,53.5,27.3,
Schoop, Jonathan,2016,.298,6.7,28.9,66.2,27.5,
Arenado, Nolan,2016,.362,9.0,18.9,60.2,26.3,
Gennett, Scooter,2016,.315,3.9,22.7,61.6,25.5,
Lamb, Jake,2016,.332,11.5,29.0,54.0,27.2,
Myers, Wil,2016,.336,7.0,21.8,58.0,28.0,
Piscotty, Stephen,2016,.342,8.6,25.8,62.4,27.2,
Seager, Kyle,2016,.359,9.0,18.6,55.0,25.6,
Carpenter, Matt,2016,.378,11.3,19.2,55.8,26.6,
Dickerson, Corey,2016,.292,11.1,29.1,62.4,27.4,
Dozier, Brian,2016,.339,8.3,23.4,59.3,27.8,
Iglesias, Jose,2016,.302,0.7,10.5,60.4,28.5,
Hechavarria, Adeiny,2016,.282,1.1,16.2,60.5,27.6,
Bryant, Kris,2016,.385,11.7,28.1,59.8,28.5,
Machado, Manny,2016,.343,9.3,22.3,59.9,26.1,
Realmuto, J.T.,2016,.343,3.9,19.6,63.3,28.8,
Yelich, Christian,2016,.376,9.7,24.4,55.1,28.9,
Bogaerts, Xander,2016,.356,5.3,20.0,59.1,28.3,
Calhoun, Kole,2016,.348,6.2,25.3,61.8,26.0,
Duvall, Adam,2016,.296,11.9,27.7,64.0,28.3,
Eaton, Adam,2016,.358,3.1,17.4,60.8,28.3,
Lindor, Francisco,2016,.357,4.1,17.2,59.6,27.1,
Odor, Rougned,2016,.296,7.8,23.8,61.4,27.7,
Cuthbert, Cheslor,2016,.318,2.4,23.2,62.7,26.6,
Franco, Maikel,2016,.306,6.7,24.2,61.1,26.0,
Bradley Jr., Jackie,2016,.349,8.6,26.7,59.7,27.4,
Betts, Mookie,2016,.363,5.2,14.2,60.8,27.9,
Panik, Joe,2016,.314,4.5,11.2,56.1,26.5,
Pillar, Kevin,2016,.301,3.0,18.7,64.7,28.1,
Ramirez, Jose,2016,.362,3.0,12.7,57.0,27.9,
Russell, Addison,2016,.321,9.3,29.3,64.0,28.5,
Seager, Corey,2016,.365,8.3,23.3,60.8,26.6,
Mazara, Nomar,2016,.320,6.8,20.4,58.1,26.9,
Garcia, Adonis,2016,.311,5.2,21.2,63.2,26.4,
Correa, Carlos,2016,.361,7.7,24.3,59.8,28.0,
Tomas, Yasmany,2016,.313,10.6,30.6,71.2,27.0,
Beltran, Carlos,2017,.283,4.6,19.8,63.1,25.3,
Pujols, Albert,2017,.286,5.4,20.6,55.5,21.9,
Mauer, Joe,2017,.384,4.5,12.9,57.0,26.1,
Cabrera, Miguel,2017,.329,10.5,23.1,60.7,24.9,
Phillips, Brandon,2017,.318,2.4,20.2,64.6,25.9,
Reyes, Jose,2017,.312,2.6,17.8,61.5,27.4,
Choo, Shin-Soo,2017,.355,8.6,23.2,58.2,26.3,
Molina, Yadier,2017,.311,5.9,18.8,63.2,23.8,
Cano, Robinson,2017,.338,6.1,17.8,59.9,24.2,
Encarnacion, Edwin,2017,.377,10.3,25.4,52.6,24.5,
Bautista, Jose,2017,.308,6.6,28.4,56.3,25.5,
Jones, Adam,2017,.321,6.4,24.5,59.2,27.1,
Granderson, Curtis,2017,.323,10.9,19.3,57.5,26.9,
Ramirez, Hanley,2017,.320,9.5,25.6,62.0,26.1,
Morales, Kendrys,2017,.308,9.8,29.0,59.7,23.5,
Kinsler, Ian,2017,.313,4.9,15.5,61.5,26.9,
Cruz, Nelson,2017,.375,14.2,30.5,59.4,25.5,
Trumbo, Mark,2017,.289,6.8,29.9,62.4,26.5,
Peralta, David,2017,.352,4.1,21.8,59.6,27.4,
Escobar, Alcides,2017,.269,2.2,20.8,64.7,27.7,
Longoria, Evan,2017,.313,5.2,20.9,62.8,27.1,
Cozart, Zack,2017,.385,4.4,16.0,60.9,26.0,
Reynolds, Mark,2017,.352,8.3,34.3,57.5,24.8,
Davis, Chris,2017,.309,12.8,35.3,61.6,25.1,
Headley, Chase,2017,.352,4.6,26.1,59.6,25.3,
Pence, Hunter,2017,.315,5.8,26.9,60.5,28.6,
Span, Denard,2017,.328,3.3,11.8,56.5,27.5,
Cabrera, Asdrubal,2017,.350,4.7,19.0,58.5,25.2,
Blackmon, Charlie,2017,.397,8.7,18.9,57.5,28.2,
Frazier, Todd,2017,.344,9.6,25.8,55.7,26.5,
Markakis, Nick,2017,.354,3.3,15.6,56.6,25.9,
Cain, Lorenzo,2017,.363,3.5,19.8,63.9,28.8,
McCutchen, Andrew,2017,.363,7.7,21.2,58.2,28.8,
Upton, Justin,2017,.361,13.0,30.5,58.7,28.3,
Turner, Justin,2017,.414,8.6,15.7,56.0,25.5,
Posey, Buster,2017,.400,3.5,15.9,52.6,24.7,
Bruce, Jay,2017,.324,10.5,27.6,60.0,26.3,
Votto, Joey,2017,.454,9.1,15.4,55.9,24.9,
Gardner, Brett,2017,.348,3.8,15.6,52.3,28.8,
Joyce, Matt,2017,.335,8.8,25.0,54.4,26.5,
Gordon, Alex,2017,.292,4.5,23.1,59.1,26.2,
Andrus, Elvis,2017,.337,4.2,19.6,62.7,27.3,
Cabrera, Melky,2017,.323,3.8,13.4,58.6,26.2,
Santana, Carlos,2017,.363,7.5,19.3,54.1,26.1,
Gonzalez, Carlos,2017,.339,5.9,32.1,54.9,26.9,
Mercer, Jordy,2017,.326,3.1,15.6,55.2,27.6,
Alonso, Yonder,2017,.365,9.9,26.1,52.7,24.6,
Smoak, Justin,2017,.355,13.6,23.5,56.5,24.1,
Zimmerman, Ryan,2017,.358,12.2,24.4,57.3,26.9,
Lowrie, Jed,2017,.360,6.0,18.8,60.8,26.7,
Morrison, Logan,2017,.353,12.8,28.8,57.2,26.7,
Gurriel, Yuli,2017,.332,3.4,17.6,62.1,26.9,
Solarte, Yangervis,2017,.314,3.9,15.8,63.1,24.7,
Freese, David,2017,.368,6.4,23.2,60.6,26.1,
Davis, Khris,2017,.336,17.5,33.7,58.0,26.5,
Pham, Tommy,2017,.409,9.3,20.9,58.3,28.7,
Reddick, Josh,2017,.357,3.8,15.6,54.8,27.8,
Murphy, Daniel,2017,.384,4.8,13.7,54.1,26.3,
Goldschmidt, Paul,2017,.403,13.3,26.5,58.9,26.8,
Gonzalez, Marwin,2017,.375,6.6,20.4,56.4,26.7,
Altuve, Jose,2017,.409,6.7,16.8,66.9,28.3,
Hernandez, Cesar,2017,.373,2.9,21.0,57.4,29.4,
Segura, Jean,2017,.348,3.2,15.9,59.7,27.1,
Freeman, Freddie,2017,.403,13.3,24.9,58.2,26.6,
LeMahieu, DJ,2017,.372,1.9,12.7,59.1,27.1,
Moreland, Mitch,2017,.326,12.0,25.8,53.6,25.7,
Moustakas, Mike,2017,.314,8.6,20.9,58.5,24.0,
Rizzo, Anthony,2017,.392,9.3,18.3,56.2,25.7,
Souza Jr., Steven,2017,.350,11.5,32.1,60.3,28.9,
Stanton, Giancarlo,2017,.376,17.4,31.8,53.2,27.8,
Thames, Eric,2017,.359,11.1,31.6,55.3,27.1,
Galvis, Freddy,2017,.308,2.4,17.8,58.4,27.3,
Garcia, Avisail,2017,.380,8.8,29.3,62.6,29.1,
Inciarte, Ender,2017,.348,0.5,14.6,64.2,27.2,
Ozuna, Marcell,2017,.376,8.9,26.9,62.9,27.8,
Beckham, Tim,2017,.327,9.5,31.0,62.3,28.0,
Crawford, Brandon,2017,.305,6.0,28.0,59.1,26.0,
Harrison, Josh,2017,.338,2.7,21.9,62.0,27.6,
Hosmer, Eric,2017,.385,6.8,21.7,58.1,27.1,
Rendon, Anthony,2017,.403,6.5,14.2,57.0,27.5,
Shaw, Travis,2017,.348,7.2,21.2,52.8,25.7,
Springer, George,2017,.366,9.1,23.3,56.6,28.0,
Strange-Gordon, Dee,2017,.340,0.2,14.8,65.0,29.4,
Gregorius, Didi,2017,.318,3.6,21.8,62.1,28.2,
Trout, Mike,2017,.442,13.3,18.2,59.8,29.3,
Herrera, Odubel,2017,.325,6.2,26.7,63.4,27.3,
Abreu, Jose,2017,.354,9.5,22.5,57.3,26.9,
Suarez, Eugenio,2017,.367,6.9,24.5,59.5,26.9,
Santana, Domingo,2017,.371,9.4,32.2,62.1,27.2,
Sanchez, Yolmer,2017,.315,3.4,23.9,65.5,28.4,
Schoop, Jonathan,2017,.338,6.8,28.1,61.3,27.5,
Arenado, Nolan,2017,.372,8.5,23.3,57.2,25.7,
Hamilton, Billy,2017,.297,0.4,19.6,63.0,30.1,
Joseph, Tommy,2017,.289,7.3,26.6,61.4,25.3,
Lamb, Jake,2017,.357,9.3,23.9,56.1,26.9,
Myers, Wil,2017,.328,9.1,25.9,58.6,28.5,
Seager, Kyle,2017,.323,8.6,21.0,55.8,26.1,
Carpenter, Matt,2017,.383,8.2,19.7,56.3,26.6,
Dickerson, Corey,2017,.324,7.3,28.6,61.8,27.6,
Dozier, Brian,2017,.359,8.4,24.7,57.3,27.1,
Bryant, Kris,2017,.409,9.6,24.1,57.6,28.9,
Castellanos, Nick,2017,.320,10.7,26.9,63.9,28.1,
Gamel, Ben,2017,.322,4.1,21.0,59.5,28.4,
Healy, Ryon,2017,.302,7.6,26.9,58.2,26.6,
Judge, Aaron,2017,.422,25.7,34.9,56.8,28.0,
Machado, Manny,2017,.310,10.5,21.9,59.3,26.3,
Realmuto, J.T.,2017,.332,6.3,19.2,61.5,28.6,
Rosario, Eddie,2017,.326,7.4,24.2,59.4,27.5,
Simmons, Andrelton,2017,.331,2.5,13.6,64.6,27.5,
Yelich, Christian,2017,.368,7.0,22.2,52.1,28.4,
Merrifield, Whit,2017,.324,5.1,17.5,61.7,29.2,
Bogaerts, Xander,2017,.343,1.3,20.8,62.2,28.3,
Polanco, Jorge,2017,.309,2.6,14.7,59.6,28.4,
Calhoun, Kole,2017,.333,5.4,25.8,59.9,26.4,
Duvall, Adam,2017,.301,8.9,26.0,63.7,27.7,
Schebler, Scott,2017,.307,10.2,29.4,58.2,28.3,
Baez, Javier,2017,.313,8.1,36.5,61.0,28.5,
Lindor, Francisco,2017,.335,7.1,15.4,58.5,28.0,
Odor, Rougned,2017,.252,6.0,26.0,59.9,28.1,
Story, Trevor,2017,.308,10.5,31.5,63.6,29.3,
Sanchez, Gary,2017,.345,11.8,28.4,55.6,26.1,
Kepler, Max,2017,.312,4.0,22.4,56.2,28.0,
Franco, Maikel,2017,.281,6.0,22.3,63.6,26.0,
Bradley Jr., Jackie,2017,.323,7.2,29.6,54.2,27.5,
Bell, Josh,2017,.334,6.4,23.5,55.0,27.2,
Betts, Mookie,2017,.344,4.5,15.7,56.7,27.9,
Panik, Joe,2017,.346,2.6,11.1,57.8,26.1,
Arcia, Orlando,2017,.323,4.1,25.7,64.1,27.2,
Peraza, Jose,2017,.295,1.7,15.4,63.5,28.8,
Pillar, Kevin,2017,.299,3.4,16.5,63.9,27.8,
Ramirez, Jose,2017,.374,5.0,13.6,56.0,28.0,
Bregman, Alex,2017,.351,4.5,16.5,63.3,27.6,
Gallo, Joey,2017,.333,22.1,43.4,57.5,27.8,
Seager, Corey,2017,.375,8.5,27.2,60.5,26.8,
Mazara, Nomar,2017,.323,6.5,25.7,55.0,27.0,
Swanson, Dansby,2017,.312,3.0,23.8,58.3,28.7,
Taylor, Chris,2017,.354,7.5,25.5,64.3,29.0,
Buxton, Byron,2017,.311,5.6,31.2,62.0,30.5,
Margot, Manuel,2017,.312,2.6,21.5,64.5,29.4,
Puig, Yasiel,2017,.346,8.9,24.7,58.9,28.1,
Anderson, Tim,2017,.276,5.1,29.8,66.5,28.7,
Bellinger, Cody,2017,.352,12.2,32.5,55.3,28.8,
Mancini, Trey,2017,.338,9.8,28.4,61.4,27.6,
Benintendi, Andrew,2017,.351,5.5,19.2,54.7,28.3,
