last_name, first_name,year,on_base_percent,barrel_batted_rate,hard_hit_percent,whiff_percent,f_strike_percent,
Galvis, Freddy,2015,.299,2.4,22.3,19.2,64.2,
Perez, Salvador,2015,.280,5.3,32.6,18.0,60.6,
Forsythe, Logan,2015,.359,3.4,31.7,18.6,61.6,
Flores, Wilmer,2015,.294,1.9,25.7,14.3,61.0,
Garcia, Avisail,2015,.309,4.8,37.5,31.1,65.6,
Inciarte, Ender,2015,.337,1.1,19.7,11.6,62.0,
Burns, Billy,2015,.333,0.5,14.5,16.4,67.9,
Crawford, Brandon,2015,.321,8.7,43.1,28.1,62.4,
Giavotella, Johnny,2015,.313,1.0,19.6,14.9,61.4,
Gose, Anthony,2015,.320,2.3,30.7,27.3,62.6,
Hosmer, Eric,2015,.363,7.1,41.0,20.6,57.0,
Kipnis, Jason,2015,.370,2.8,38.2,17.0,56.2,
Lawrie, Brett,2015,.297,4.7,39.1,26.3,63.6,
Semien, Marcus,2015,.309,4.5,28.9,22.4,58.2,
Strange-Gordon, Dee,2015,.355,1.1,17.0,14.2,65.1,
Wong, Kolten,2015,.321,3.0,34.3,19.6,56.3,
Gregorius, Didi,2015,.317,1.6,24.5,22.7,63.3,
Trout, Mike,2015,.402,16.4,48.6,22.0,56.7,
Herrera, Odubel,2015,.341,3.2,33.9,25.5,62.9,
Harper, Bryce,2015,.460,12.9,47.5,27.0,54.7,
Abreu, Jose,2015,.347,9.3,41.8,24.9,57.8,
Polanco, Gregory,2015,.319,4.4,39.6,20.0,57.4,
Arenado, Nolan,2015,.323,8.3,40.4,21.1,60.3,
Holt, Brock,2015,.346,0.6,24.2,15.2,62.5,
Owings, Chris,2015,.261,2.6,24.7,26.1,66.8,
Pollock, AJ,2015,.367,5.7,39.1,16.9,63.7,
Seager, Kyle,2015,.328,7.0,34.6,17.7,58.5,
Taylor, Michael A.,2015,.282,6.3,35.6,33.7,65.0,
Carpenter, Matt,2015,.365,9.1,36.1,21.7,61.1,
Dozier, Brian,2015,.307,5.9,31.1,22.3,60.5,
Bryant, Kris,2015,.369,11.5,43.3,35.6,60.9,
Castellanos, Nick,2015,.303,7.7,34.7,29.7,64.4,
Machado, Manny,2015,.358,7.6,41.7,17.6,58.1,
Pederson, Joc,2015,.345,11.8,45.2,36.1,56.9,
Simmons, Andrelton,2015,.321,1.0,29.0,11.9,64.3,
Yelich, Christian,2015,.366,4.8,45.1,22.4,56.6,
Bogaerts, Xander,2015,.353,2.5,34.2,20.3,62.4,
Calhoun, Kole,2015,.308,6.8,31.8,28.0,64.6,
Eaton, Adam,2015,.358,3.1,30.9,18.7,58.6,
Gattis, Evan,2015,.285,7.1,39.2,25.0,60.4,
Kiermaier, Kevin,2015,.297,2.4,30.9,21.2,64.7,
