last_name, first_name,year,on_base_percent,barrel_batted_rate,hard_hit_percent,whiff_percent,f_strike_percent,
Fletcher, David,2019,.349,0.2,17.1,9.8,55.6,
Guerrero Jr., Vladimir,2019,.339,7.7,38.7,24.5,64.2,
Soto, Juan,2019,.401,12.3,47.8,24.0,55.5,
Reynolds, Bryan,2019,.377,6.7,41.6,26.3,60.8,
Beltran, Carlos,2017,.283,4.6,31.1,19.8,63.1,
Pujols, Albert,2017,.286,5.4,39.0,20.6,55.5,
Mauer, Joe,2017,.384,4.5,46.3,12.9,57.0,
Cabrera, Miguel,2017,.329,10.5,48.6,23.1,60.7,
Phillips, Brandon,2017,.318,2.4,25.3,20.2,64.6,
Reyes, Jose,2017,.312,2.6,24.3,17.8,61.5,
Choo, Shin-Soo,2017,.355,8.6,37.8,23.2,58.2,
Molina, Yadier,2017,.311,5.9,35.0,18.8,63.2,
Cano, Robinson,2017,.338,6.1,43.9,17.8,59.9,
Encarnacion, Edwin,2017,.377,10.3,42.2,25.4,52.6,
Bautista, Jose,2017,.308,6.6,36.0,28.4,56.3,
Jones, Adam,2017,.321,6.4,30.8,24.5,59.2,
Granderson, Curtis,2017,.323,10.9,34.5,19.3,57.5,
Ramirez, Hanley,2017,.320,9.5,38.3,25.6,62.0,
Morales, Kendrys,2017,.308,9.8,46.7,29.0,59.7,
Kinsler, Ian,2017,.313,4.9,30.2,15.5,61.5,
Cruz, Nelson,2017,.375,14.2,48.3,30.5,59.4,
Trumbo, Mark,2017,.289,6.8,38.2,29.9,62.4,
Peralta, David,2017,.352,4.1,35.5,21.8,59.6,
Escobar, Alcides,2017,.269,2.2,21.1,20.8,64.7,
Longoria, Evan,2017,.313,5.2,32.4,20.9,62.8,
Cozart, Zack,2017,.385,4.4,28.9,16.0,60.9,
Reynolds, Mark,2017,.352,8.3,35.9,34.3,57.5,
Davis, Chris,2017,.309,12.8,45.6,35.3,61.6,
Headley, Chase,2017,.352,4.6,33.2,26.1,59.6,
Pence, Hunter,2017,.315,5.8,37.7,26.9,60.5,
Span, Denard,2017,.328,3.3,25.1,11.8,56.5,
Cabrera, Asdrubal,2017,.350,4.7,33.5,19.0,58.5,
Blackmon, Charlie,2017,.397,8.7,36.5,18.9,57.5,
Frazier, Todd,2017,.344,9.6,30.4,25.8,55.7,
Markakis, Nick,2017,.354,3.3,34.6,15.6,56.6,
Cain, Lorenzo,2017,.363,3.5,35.5,19.8,63.9,
McCutchen, Andrew,2017,.363,7.7,38.9,21.2,58.2,
Upton, Justin,2017,.361,13.0,41.0,30.5,58.7,
Turner, Justin,2017,.414,8.6,38.7,15.7,56.0,
Posey, Buster,2017,.400,3.5,34.7,15.9,52.6,
Bruce, Jay,2017,.324,10.5,38.7,27.6,60.0,
Votto, Joey,2017,.454,9.1,32.9,15.4,55.9,
Gardner, Brett,2017,.348,3.8,31.0,15.6,52.3,
Joyce, Matt,2017,.335,8.8,34.8,25.0,54.4,
Gordon, Alex,2017,.292,4.5,31.3,23.1,59.1,
Andrus, Elvis,2017,.337,4.2,31.3,19.6,62.7,
Cabrera, Melky,2017,.323,3.8,35.0,13.4,58.6,
Santana, Carlos,2017,.363,7.5,38.7,19.3,54.1,
Gonzalez, Carlos,2017,.339,5.9,37.0,32.1,54.9,
Mercer, Jordy,2017,.326,3.1,32.4,15.6,55.2,
Alonso, Yonder,2017,.365,9.9,41.1,26.1,52.7,
Smoak, Justin,2017,.355,13.6,43.4,23.5,56.5,
Zimmerman, Ryan,2017,.358,12.2,49.1,24.4,57.3,
Lowrie, Jed,2017,.360,6.0,37.6,18.8,60.8,
Morrison, Logan,2017,.353,12.8,42.3,28.8,57.2,
Gurriel, Yuli,2017,.332,3.4,43.6,17.6,62.1,
Solarte, Yangervis,2017,.314,3.9,27.6,15.8,63.1,
Freese, David,2017,.368,6.4,43.1,23.2,60.6,
Davis, Khris,2017,.336,17.5,52.3,33.7,58.0,
Pham, Tommy,2017,.409,9.3,43.8,20.9,58.3,
Reddick, Josh,2017,.357,3.8,31.6,15.6,54.8,
Murphy, Daniel,2017,.384,4.8,41.8,13.7,54.1,
Goldschmidt, Paul,2017,.403,13.3,47.2,26.5,58.9,
Gonzalez, Marwin,2017,.375,6.6,36.7,20.4,56.4,
Altuve, Jose,2017,.409,6.7,28.5,16.8,66.9,
Hernandez, Cesar,2017,.373,2.9,29.7,21.0,57.4,
Segura, Jean,2017,.348,3.2,34.5,15.9,59.7,
Freeman, Freddie,2017,.403,13.3,42.7,24.9,58.2,
LeMahieu, DJ,2017,.372,1.9,41.4,12.7,59.1,
Moreland, Mitch,2017,.326,12.0,36.5,25.8,53.6,
Moustakas, Mike,2017,.314,8.6,33.8,20.9,58.5,
Rizzo, Anthony,2017,.392,9.3,39.0,18.3,56.2,
Souza Jr., Steven,2017,.350,11.5,38.4,32.1,60.3,
Stanton, Giancarlo,2017,.376,17.4,45.6,31.8,53.2,
Thames, Eric,2017,.359,11.1,39.3,31.6,55.3,
Galvis, Freddy,2017,.308,2.4,23.5,17.8,58.4,
Garcia, Avisail,2017,.380,8.8,40.8,29.3,62.6,
Inciarte, Ender,2017,.348,0.5,13.0,14.6,64.2,
Ozuna, Marcell,2017,.376,8.9,45.4,26.9,62.9,
Beckham, Tim,2017,.327,9.5,40.8,31.0,62.3,
Crawford, Brandon,2017,.305,6.0,33.6,28.0,59.1,
Harrison, Josh,2017,.338,2.7,24.1,21.9,62.0,
Hosmer, Eric,2017,.385,6.8,39.6,21.7,58.1,
Rendon, Anthony,2017,.403,6.5,38.5,14.2,57.0,
Shaw, Travis,2017,.348,7.2,39.3,21.2,52.8,
Springer, George,2017,.366,9.1,43.2,23.3,56.6,
Strange-Gordon, Dee,2017,.340,0.2,11.1,14.8,65.0,
Gregorius, Didi,2017,.318,3.6,20.9,21.8,62.1,
Trout, Mike,2017,.442,13.3,39.7,18.2,59.8,
Herrera, Odubel,2017,.325,6.2,32.5,26.7,63.4,
Abreu, Jose,2017,.354,9.5,45.2,22.5,57.3,
Suarez, Eugenio,2017,.367,6.9,32.0,24.5,59.5,
Santana, Domingo,2017,.371,9.4,40.4,32.2,62.1,
Sanchez, Yolmer,2017,.315,3.4,24.6,23.9,65.5,
Schoop, Jonathan,2017,.338,6.8,36.6,28.1,61.3,
Arenado, Nolan,2017,.372,8.5,37.9,23.3,57.2,
Hamilton, Billy,2017,.297,0.4,11.7,19.6,63.0,
Joseph, Tommy,2017,.289,7.3,40.3,26.6,61.4,
Lamb, Jake,2017,.357,9.3,36.2,23.9,56.1,
Myers, Wil,2017,.328,9.1,44.6,25.9,58.6,
Seager, Kyle,2017,.323,8.6,34.0,21.0,55.8,
Carpenter, Matt,2017,.383,8.2,37.7,19.7,56.3,
Dickerson, Corey,2017,.324,7.3,31.4,28.6,61.8,
Dozier, Brian,2017,.359,8.4,34.7,24.7,57.3,
Bryant, Kris,2017,.409,9.6,36.8,24.1,57.6,
Castellanos, Nick,2017,.320,10.7,42.1,26.9,63.9,
Gamel, Ben,2017,.322,4.1,29.4,21.0,59.5,
Healy, Ryon,2017,.302,7.6,40.8,26.9,58.2,
Judge, Aaron,2017,.422,25.7,54.7,34.9,56.8,
Machado, Manny,2017,.310,10.5,47.7,21.9,59.3,
Realmuto, J.T.,2017,.332,6.3,35.2,19.2,61.5,
Rosario, Eddie,2017,.326,7.4,31.8,24.2,59.4,
Simmons, Andrelton,2017,.331,2.5,29.1,13.6,64.6,
Yelich, Christian,2017,.368,7.0,46.2,22.2,52.1,
Merrifield, Whit,2017,.324,5.1,29.6,17.5,61.7,
Bogaerts, Xander,2017,.343,1.3,30.4,20.8,62.2,
Polanco, Jorge,2017,.309,2.6,25.8,14.7,59.6,
Calhoun, Kole,2017,.333,5.4,35.2,25.8,59.9,
Duvall, Adam,2017,.301,8.9,32.7,26.0,63.7,
Schebler, Scott,2017,.307,10.2,40.9,29.4,58.2,
Baez, Javier,2017,.313,8.1,36.1,36.5,61.0,
Lindor, Francisco,2017,.335,7.1,36.1,15.4,58.5,
Odor, Rougned,2017,.252,6.0,36.7,26.0,59.9,
Story, Trevor,2017,.308,10.5,38.3,31.5,63.6,
Sanchez, Gary,2017,.345,11.8,43.1,28.4,55.6,
Kepler, Max,2017,.312,4.0,36.8,22.4,56.2,
Franco, Maikel,2017,.281,6.0,36.3,22.3,63.6,
Bradley Jr., Jackie,2017,.323,7.2,39.8,29.6,54.2,
Bell, Josh,2017,.334,6.4,34.3,23.5,55.0,
Betts, Mookie,2017,.344,4.5,38.0,15.7,56.7,
Panik, Joe,2017,.346,2.6,23.9,11.1,57.8,
Arcia, Orlando,2017,.323,4.1,27.6,25.7,64.1,
Peraza, Jose,2017,.295,1.7,20.0,15.4,63.5,
Pillar, Kevin,2017,.299,3.4,28.8,16.5,63.9,
Ramirez, Jose,2017,.374,5.0,34.9,13.6,56.0,
Bregman, Alex,2017,.351,4.5,34.0,16.5,63.3,
Gallo, Joey,2017,.333,22.1,52.2,43.4,57.5,
Seager, Corey,2017,.375,8.5,44.1,27.2,60.5,
Mazara, Nomar,2017,.323,6.5,37.1,25.7,55.0,
Swanson, Dansby,2017,.312,3.0,32.4,23.8,58.3,
Taylor, Chris,2017,.354,7.5,34.0,25.5,64.3,
Buxton, Byron,2017,.311,5.6,32.3,31.2,62.0,
Margot, Manuel,2017,.312,2.6,29.3,21.5,64.5,
Puig, Yasiel,2017,.346,8.9,37.3,24.7,58.9,
Anderson, Tim,2017,.276,5.1,31.0,29.8,66.5,
Bellinger, Cody,2017,.352,12.2,45.8,32.5,55.3,
Mancini, Trey,2017,.338,9.8,41.2,28.4,61.4,
Benintendi, Andrew,2017,.351,5.5,33.4,19.2,54.7,
Martinez, Victor,2018,.297,4.7,30.6,14.3,57.5,
Mauer, Joe,2018,.350,5.0,44.3,15.1,60.4,
Choo, Shin-Soo,2018,.376,11.1,40.5,27.0,58.2,
Molina, Yadier,2018,.314,5.5,33.8,17.3,64.0,
Encarnacion, Edwin,2018,.335,11.2,41.4,26.3,57.2,
Jones, Adam,2018,.313,4.9,33.1,23.8,65.9,
Kinsler, Ian,2018,.301,3.1,26.2,12.2,57.5,
Desmond, Ian,2018,.307,7.0,43.2,28.9,65.4,
Cruz, Nelson,2018,.342,13.8,51.8,30.6,54.3,
Peralta, David,2018,.352,7.8,46.3,23.7,61.7,
Escobar, Alcides,2018,.275,2.1,21.5,20.5,65.9,
Jay, Jon,2018,.328,1.8,21.4,20.0,62.6,
Longoria, Evan,2018,.281,7.6,37.2,20.6,62.5,
Davis, Chris,2018,.243,10.3,40.1,34.4,58.6,
Zobrist, Ben,2018,.377,3.0,38.7,14.3,58.1,
Cabrera, Asdrubal,2018,.316,7.2,39.3,22.7,61.0,
Blackmon, Charlie,2018,.358,6.5,35.2,20.4,60.2,
Markakis, Nick,2018,.366,3.1,41.6,11.4,56.9,
Nunez, Eduardo,2018,.289,3.4,35.7,15.8,61.0,
Cain, Lorenzo,2018,.395,3.4,40.5,17.8,60.2,
McCutchen, Andrew,2018,.368,8.4,42.1,22.5,56.0,
Upton, Justin,2018,.344,14.0,47.4,31.5,57.6,
Votto, Joey,2018,.417,6.7,35.1,17.9,55.9,
Gardner, Brett,2018,.320,2.8,32.9,13.7,55.0,
Gordon, Alex,2018,.324,6.8,39.8,24.0,60.9,
Kemp, Matt,2018,.338,11.0,39.1,29.4,64.4,
Santana, Carlos,2018,.352,6.9,39.3,19.4,58.2,
Gonzalez, Carlos,2018,.329,6.2,39.1,29.5,60.5,
Alonso, Yonder,2018,.317,9.8,37.5,25.4,57.3,
Smoak, Justin,2018,.350,10.8,42.5,25.3,55.6,
Lowrie, Jed,2018,.353,5.3,37.9,20.3,59.3,
Brantley, Michael,2018,.363,3.5,38.4,11.0,58.2,
Gurriel, Yuli,2018,.323,1.9,36.6,15.7,63.4,
Solarte, Yangervis,2018,.277,4.5,32.0,17.4,60.8,
Rojas, Miguel,2018,.295,0.9,23.8,15.5,60.2,
Escobar, Eduardo,2018,.334,8.3,27.6,24.0,61.6,
Martinez, Jose,2018,.363,9.4,44.6,21.4,58.8,
Davis, Khris,2018,.326,17.2,48.1,33.7,61.6,
Pham, Tommy,2018,.367,10.1,49.9,25.5,61.1,
Martinez, J.D.,2018,.402,16.0,52.8,28.2,59.5,
Goldschmidt, Paul,2018,.388,13.6,44.0,26.4,59.1,
Gonzalez, Marwin,2018,.321,6.8,41.5,24.8,58.5,
Altuve, Jose,2018,.384,5.9,33.8,17.9,67.8,
Hernandez, Cesar,2018,.356,4.2,28.6,20.4,58.3,
Segura, Jean,2018,.339,3.6,32.3,12.8,61.1,
Castro, Starlin,2018,.329,6.9,36.2,22.8,60.4,
Marte, Starling,2018,.327,7.5,38.8,24.3,63.5,
Dietrich, Derek,2018,.330,6.1,37.8,25.4,60.3,
Freeman, Freddie,2018,.388,9.3,40.0,24.3,60.3,
Grandal, Yasmani,2018,.349,11.9,40.4,28.0,54.2,
LeMahieu, DJ,2018,.320,5.2,43.2,14.0,60.4,
Moustakas, Mike,2018,.315,8.8,39.1,21.9,59.2,
Rizzo, Anthony,2018,.376,6.5,40.6,17.1,57.0,
Stanton, Giancarlo,2018,.343,15.1,50.8,34.4,57.0,
Galvis, Freddy,2018,.299,3.9,28.9,26.4,62.5,
Perez, Salvador,2018,.274,10.8,47.5,23.8,67.1,
Inciarte, Ender,2018,.323,1.5,18.7,14.7,63.2,
Ozuna, Marcell,2018,.325,9.7,45.1,24.3,61.3,
Villar, Jonathan,2018,.324,5.1,36.0,29.7,65.8,
Aguilar, Jesus,2018,.352,11.4,42.9,28.7,58.1,
Crawford, Brandon,2018,.325,3.6,33.3,29.2,62.0,
Cron, C.J.,2018,.323,12.2,36.6,29.1,58.9,
Hicks, Aaron,2018,.365,8.8,43.0,23.4,53.0,
Hosmer, Eric,2018,.322,5.9,38.2,27.6,56.4,
Kipnis, Jason,2018,.314,6.6,31.6,20.9,52.7,
Rendon, Anthony,2018,.374,10.3,44.8,13.9,62.3,
Semien, Marcus,2018,.317,4.5,32.1,20.4,61.2,
Shaw, Travis,2018,.344,10.3,38.3,20.4,54.3,
Springer, George,2018,.344,8.9,37.4,24.6,57.1,
Strange-Gordon, Dee,2018,.284,0.2,12.5,15.6,64.8,
Gregorius, Didi,2018,.334,4.7,30.8,19.6,59.4,
Trout, Mike,2018,.459,16.5,46.2,18.6,58.1,
Herrera, Odubel,2018,.310,4.9,31.9,27.7,64.3,
Harper, Bryce,2018,.393,11.5,45.4,31.6,57.4,
Abreu, Jose,2018,.325,9.1,45.2,24.6,62.4,
Suarez, Eugenio,2018,.366,9.7,45.6,25.7,59.6,
Polanco, Gregory,2018,.338,9.4,37.8,24.0,57.6,
Sanchez, Yolmer,2018,.305,3.0,28.3,21.7,61.0,
Arenado, Nolan,2018,.373,7.4,40.5,24.6,58.4,
Barnhart, Tucker,2018,.326,3.5,30.3,20.4,55.9,
Gennett, Scooter,2018,.356,5.8,32.3,20.4,61.8,
Hamilton, Billy,2018,.299,0.5,8.5,23.9,65.5,
Haniger, Mitch,2018,.366,10.3,43.2,23.3,58.3,
Piscotty, Stephen,2018,.331,9.6,38.7,25.5,65.0,
Seager, Kyle,2018,.273,5.6,39.6,22.4,59.0,
Carpenter, Matt,2018,.374,13.7,44.7,24.4,52.9,
Dickerson, Corey,2018,.330,6.1,32.4,22.0,63.6,
Dozier, Brian,2018,.305,6.3,29.4,22.8,56.5,
Contreras, Willson,2018,.338,7.3,33.3,28.1,59.0,
Castellanos, Nick,2018,.354,11.2,40.7,30.2,65.3,
Healy, Ryon,2018,.277,7.1,41.6,25.4,60.3,
Machado, Manny,2018,.367,11.3,48.2,22.2,56.3,
Realmuto, J.T.,2018,.339,9.0,41.2,22.5,60.6,
Rosario, Eddie,2018,.323,8.3,34.2,23.4,61.5,
Simmons, Andrelton,2018,.337,4.1,36.3,13.7,59.7,
Yelich, Christian,2018,.402,12.9,50.8,23.0,60.5,
Merrifield, Whit,2018,.366,4.6,31.2,19.1,59.1,
Bogaerts, Xander,2018,.360,9.8,41.8,21.1,56.8,
Calhoun, Kole,2018,.283,9.3,43.1,28.5,58.2,
Profar, Jurickson,2018,.335,5.0,31.8,18.7,60.3,
Baez, Javier,2018,.326,12.6,43.3,33.9,66.5,
Lindor, Francisco,2018,.350,9.3,41.0,17.7,55.8,
Odor, Rougned,2018,.325,7.1,38.7,23.3,60.9,
Story, Trevor,2018,.348,12.7,46.2,24.9,60.5,
Kepler, Max,2018,.319,6.6,38.2,18.0,58.1,
Bradley Jr., Jackie,2018,.314,10.3,50.1,30.8,61.5,
Candelario, Jeimer,2018,.317,6.0,33.6,25.6,55.6,
Ahmed, Nick,2018,.289,5.1,30.0,25.4,65.4,
Anderson, Brian,2018,.357,5.8,42.4,24.3,58.2,
Bell, Josh,2018,.357,7.0,39.3,24.4,55.4,
Betts, Mookie,2018,.438,14.1,50.6,15.5,56.2,
Smith, Mallex,2018,.362,1.5,23.0,25.6,61.2,
Hernandez, Teoscar,2018,.302,15.5,45.9,38.5,64.1,
Peraza, Jose,2018,.322,2.5,23.6,14.0,62.1,
Marte, Ketel,2018,.331,5.0,36.9,16.2,58.4,
Nimmo, Brandon,2018,.404,6.5,42.1,26.6,63.0,
Turner, Trea,2018,.343,5.8,38.6,20.5,62.4,
Pillar, Kevin,2018,.282,5.7,36.7,22.4,60.7,
Ramirez, Jose,2018,.387,8.3,35.1,13.7,53.0,
Bregman, Alex,2018,.394,7.6,39.9,12.9,54.2,
Gallo, Joey,2018,.312,22.5,49.5,41.0,59.6,
Mazara, Nomar,2018,.317,8.5,43.4,25.4,56.7,
Andujar, Miguel,2018,.328,6.3,36.5,19.7,66.3,
Swanson, Dansby,2018,.300,4.1,34.0,25.5,64.0,
Taylor, Chris,2018,.331,8.3,38.5,31.6,62.6,
Wendle, Joey,2018,.352,2.7,35.7,20.6,57.2,
Olson, Matt,2018,.335,12.2,52.2,27.6,54.1,
Duffy, Matt,2018,.361,1.2,28.1,17.4,63.4,
Margot, Manuel,2018,.291,3.3,37.0,21.3,62.0,
Camargo, Johan,2018,.349,5.0,33.7,26.6,57.6,
Conforto, Michael,2018,.350,9.5,37.4,27.7,58.5,
Anderson, Tim,2018,.281,4.7,27.9,27.8,63.7,
Bellinger, Cody,2018,.343,8.6,38.9,29.7,58.1,
Mancini, Trey,2018,.299,11.8,42.9,27.6,61.9,
Rosario, Amed,2018,.294,3.9,32.3,26.1,67.2,
Benintendi, Andrew,2018,.365,6.4,33.7,19.3,56.6,
Albies, Ozzie,2018,.304,4.7,29.4,22.2,63.5,
Chapman, Matt,2018,.356,8.9,47.8,23.6,58.0,
Hoskins, Rhys,2018,.353,11.4,39.5,21.8,52.7,
Schwarber, Kyle,2018,.355,12.7,45.0,30.2,55.9,
Moncada, Yoan,2018,.314,9.6,44.2,31.1,61.2,
